Car Make,City,Money,Frequency,Gender,Language
Aston Martin,Jinxiang,Yuan Renminbi,Never,Female,
Lexus,Xinyu,Yuan Renminbi,Daily,Male,
,Chingas,Sol,Monthly,Male,Fijian
Chevrolet,Amancio,,Daily,Male,
,Ayaviri,Sol,Seldom,Female,
,Bei’an,Yuan Renminbi,Often,Female,
Buick,Oelaba,Rupiah,Weekly,Female,
Acura,Santiago,Peso,Often,Female,
Chevrolet,Dieppe,Euro,Yearly,Female,
,Trần Văn Thời,Dong,Never,Female,
Infiniti,Vårdö,Euro,Never,Female,
Oldsmobile,Sabnova,,Often,Female,
Pontiac,Hadžići,Marka,Yearly,Male,
Daewoo,Vinica,Kuna,Seldom,Male,
BMW,,Yuan Renminbi,,Female,
Ford,Nangka,Peso,,Male,
Holden,,Lev,Yearly,Male,
Toyota,,Shilling,Once,Male,
Mercedes-Benz,Stamford,Dollar,Monthly,,Bengali
Mercedes-Benz,Rameshki,,Daily,Male,
Mazda,,,Never,Female,
Buick,Pyetrykaw,Ruble,Seldom,Male,
BMW,El Corozal,Lempira,Often,Female,
Hyundai,Dankama,Naira,Yearly,Female,
Jeep,Dawei,Kyat,Once,Female,
Lexus,Obeliai,Litas,Monthly,Female,Gujarati
,,Peso,Seldom,Female,Dzongkha
Infiniti,Xiaoguai,,Monthly,Female,
Mercury,,Peso,Monthly,Female,
Lamborghini,Vyatskiye Polyany,,Yearly,Female,
GMC,Lancai,Yuan Renminbi,Seldom,,
Chevrolet,Nantang,,Daily,Male,Lithuanian
GMC,,Som,Often,Female,
Mercedes-Benz,,Rupiah,Often,Male,Armenian
Mitsubishi,Cunén,Quetzal,Once,Male,Dhivehi
,Idenao,Franc,Daily,Female,Danish
Ford,Parista,Peso,Weekly,Male,Khmer
Volkswagen,Oslo,Krone,Once,Female,
Lexus,Nagrog,Rupiah,Monthly,Male,
Chevrolet,Vitória de Santo Antão,Real,Monthly,Female,
Chevrolet,Bromölla,Krona,Yearly,Female,
Saab,Henglan,Yuan Renminbi,Monthly,Male,
Audi,Veinticinco de Mayo,Peso,Daily,Female,
Dodge,Xingxi,Yuan Renminbi,Once,Male,
Audi,Vichuga,,Never,Female,
Pontiac,Lingbei,Yuan Renminbi,Yearly,Male,
BMW,Kamojimachō-jōgejima,,Never,Female,Kashmiri
Bugatti,,Franc,Monthly,Male,
Volvo,,Yuan Renminbi,Often,Male,
Ford,Ciputat,Rupiah,Seldom,Male,
Mitsubishi,Tinampo,Peso,Yearly,,
Chevrolet,Juarez,Peso,Monthly,Female,
,,Rand,Weekly,Female,
,Kanaya,Yen,Yearly,Male,
Acura,,,Seldom,Male,
Buick,,Euro,Monthly,Male,
Mitsubishi,Cangzhou,,Daily,Male,
,Vichy,Euro,Monthly,Male,
Mazda,Wapno,,Often,Male,Telugu
Volkswagen,Shigou,Yuan Renminbi,Often,Male,
Ford,Liushikou,Yuan Renminbi,Weekly,,
Mercedes-Benz,Caazapá,,Never,Female,
Volkswagen,Shangyuan,Yuan Renminbi,Seldom,Male,
Ford,Niigata-shi,Yen,Monthly,Male,Haitian Creole
Lexus,Milagros,Peso,Monthly,,Fijian
Mercury,,,Weekly,Female,Tok Pisin
Suzuki,Madala,,,,Tswana
Honda,Qiaozi,Yuan Renminbi,Yearly,Male,
Morgan,Qaraçuxur,Manat,Once,Male,
,,Krone,Once,Male,
Ford,Phủ Thông,Dong,Daily,,
Ford,,Franc,Monthly,Female,
,Panggungasri,,Once,Female,
Mitsubishi,Promna,Zloty,Often,Female,
Audi,Onsala,Krona,Often,Female,
,Kingsport,Dollar,Often,Female,
Mazda,Jinping,Yuan Renminbi,Once,Male,English
Dodge,General Emilio Aguinaldo,,Monthly,Female,
Land Rover,,Dollar,Never,Male,
Mercedes-Benz,Samdrup Jongkhar,Ngultrum,Seldom,,Swedish
BMW,Tojeira,Euro,Yearly,Female,
,Livingstone,Kwacha,Weekly,Female,
Saab,Bailianhe,Yuan Renminbi,Yearly,,
Buick,Khawr Maksar,,Yearly,Female,
Mercury,Bacong,Peso,Yearly,,Finnish
Pontiac,Tagasilay,Peso,Monthly,Male,
,Panjāb,Afghani,Yearly,Male,
,Cañazas,,Weekly,Female,
Lexus,,Yuan Renminbi,Often,Female,Hindi
,,,Never,Female,Moldovan
Chrysler,Baranti,Rupiah,Monthly,Male,
,Pregradnoye,Ruble,Yearly,Female,
,Zhenhai,Yuan Renminbi,Daily,Male,
Cadillac,Xichangmen,Yuan Renminbi,Yearly,Female,Māori
Pontiac,Kushar,Rial,Weekly,,
,Dabao,Yuan Renminbi,Weekly,,
Saab,Thung Khru,Baht,Yearly,Female,
Chevrolet,Oemollo,Rupiah,Yearly,Female,
,Ha,Ngultrum,Yearly,Female,
,Ifon,Naira,Often,Female,
Pontiac,Kumo,Naira,Seldom,Female,
,Shangshuai,Yuan Renminbi,Yearly,Female,Filipino
MG,Jiang’an,Yuan Renminbi,Monthly,,
Infiniti,Balugo,Peso,Yearly,Male,
Chrysler,Bukui,,,,
Suzuki,Colomi,Boliviano,Weekly,Female,New Zealand Sign Language
Mercedes-Benz,Lyon,Euro,Seldom,Female,
Lexus,Parungjawa,Rupiah,Never,Male,Bislama
MINI,,,Never,Female,Finnish
Infiniti,Jhang Sadr,Rupee,Seldom,Female,
Chevrolet,Karobokan,Rupiah,Daily,,
Mercedes-Benz,,Ruble,Once,Female,
Toyota,Capas,Peso,Monthly,Male,
Cadillac,Wobulenzi,Shilling,Never,Male,
,Ōtake,Yen,Seldom,Female,Tswana
Pontiac,Tayginka,Ruble,Often,Female,Portuguese
,Paris 08,Euro,Daily,Male,
GMC,Har-Us,Tugrik,Often,Male,
,Cinagrog Girang,Rupiah,Daily,,
,,,Monthly,Male,
Lamborghini,Sibulan,Peso,Often,,
,Idritsa,Ruble,Never,Female,
Mercedes-Benz,,Krona,Monthly,Female,
Mercedes-Benz,Czerniejewo,Zloty,Daily,Female,Filipino
,Kesugihan,Rupiah,Often,Female,
Dodge,Cipaku,Rupiah,Often,Male,
Buick,Niebocko,Zloty,Yearly,Female,Kyrgyz
Mitsubishi,Culeng,Rupiah,Monthly,Female,
Chevrolet,,Denar,Once,Male,Azeri
Audi,Bantarpanjang,,Never,Male,
Jaguar,,Euro,Seldom,Female,
Dodge,Fálanna,Euro,Weekly,Male,
Mercedes-Benz,Penanggal,,Seldom,Male,
GMC,Huibu,Yuan Renminbi,Daily,Female,
Toyota,Subotica,Dinar,Seldom,Male,
,Xinzhuang,Yuan Renminbi,Yearly,,
Maserati,Bosen,Rupiah,,Female,
Pontiac,Struga,Denar,Once,Male,
GMC,Bakungan,Rupiah,Seldom,Female,
Mazda,Quimper,Euro,Yearly,Male,
Mercury,San Carlos,Peso,Seldom,Female,
Eagle,Batroûn,Pound,Seldom,,
,Cilegong,Rupiah,Weekly,,
,,,Never,Male,
Chevrolet,Przodkowo,Zloty,Monthly,Male,Oriya
Infiniti,Cikiwul Satu,Rupiah,Daily,Female,
Mercedes-Benz,,Dollar,Never,Male,
Chevrolet,Gemblengmulyo,Rupiah,Seldom,Female,
Hyundai,Jungkat Selatan,Rupiah,Yearly,Female,
Volvo,Cherkasskoye,Ruble,Monthly,Female,
Dodge,Caigongzhuang,Yuan Renminbi,Weekly,Female,
GMC,Nueva Gerona,Peso,Weekly,Male,
Nissan,Vrdy,,Never,Male,
Mazda,,,Monthly,Male,
Mercury,,Peso,Weekly,,
Audi,Anxi,Yuan Renminbi,Once,Male,
Mitsubishi,Sigay,Peso,Once,Female,
Dodge,,Dinar,Seldom,Male,
Toyota,Räpina,Euro,Yearly,Female,Bulgarian
Lexus,Čakovec,Kuna,Monthly,Male,
Mitsubishi,,,Weekly,Male,
Mitsubishi,Banjar Kubu,Rupiah,Weekly,Female,
BMW,Ashiya,,Never,Male,Gujarati
Mazda,Bouillon,Euro,,Male,
Cadillac,Chateaubelair,Dollar,Once,Male,
Porsche,Tuzhai,Yuan Renminbi,Weekly,Male,
Ford,Dobrá,Koruna,Never,Male,
Ford,Stocksund,Krona,Yearly,Female,
,Raojān,Taka,Once,Female,
Chevrolet,Santa Cruz del Quiché,Quetzal,Yearly,Female,
,Xiaozhi,Yuan Renminbi,Monthly,Female,
,Slavs’ke,Hryvnia,Yearly,Male,
Jaguar,Pleasant Point,Dollar,Seldom,Female,
Nissan,Shiren,Yuan Renminbi,Often,Female,Kyrgyz
Pontiac,Ganyan,Yuan Renminbi,Once,Female,
,Jedlińsk,Zloty,Yearly,Male,
Lexus,Leipzig,Euro,Daily,Male,
Mitsubishi,Lindi,,Never,Female,
Mercedes-Benz,Lleida,Euro,Weekly,Female,
Mazda,Fuyong,Yuan Renminbi,Monthly,,
Dodge,Sukarame,Rupiah,Weekly,Male,
,São Paulo de Olivença,Real,Never,Female,
Mazda,Rengang,Yuan Renminbi,Never,Male,
Lincoln,Kulary,Ruble,Once,Male,
Lincoln,Port Saint John’s,Rand,Often,,
Oldsmobile,Energodar,Hryvnia,Never,Female,
Dodge,Qal‘ah-ye Shāhī,Afghani,Once,,Yiddish
Ford,Tiglauigan,Peso,Often,Female,
,,Rand,Monthly,Male,Burmese
,Rumbek,Pound,Weekly,,
Land Rover,Gharyan,Dinar,Yearly,,
Maybach,Birowo,Rupiah,,Female,
Mercedes-Benz,Paulínia,Real,Yearly,Male,
Hyundai,Toutai,Yuan Renminbi,Yearly,Male,
Subaru,Ivanishchi,,Seldom,,
Dodge,Chavdar,Lev,Once,Female,
GMC,Batumi,Lari,Never,Female,
Subaru,,,Never,Male,
Scion,,Dollar,Often,Female,
Cadillac,Mount Frere,Rand,Daily,Male,
Mercury,,Rupiah,Daily,Male,
Nissan,Norfolk,,Daily,Female,
,Cungapmimbo,,Yearly,,
Cadillac,Starý Bohumín,,Yearly,Female,
Mazda,Uubulan,Tugrik,Seldom,Female,
Cadillac,,Euro,Never,,
Chrysler,Wulan Hada,Yuan Renminbi,Yearly,Male,German
Buick,Ochakovo-Matveyevskoye,,Never,Male,
,Tourcoing,Euro,Daily,Male,
Chevrolet,Ocala,Dollar,Weekly,Female,
Ford,Loen,Dollar,Never,Female,Fijian
Audi,Calumpit,Peso,Yearly,Male,
Infiniti,,Shekel,,Male,
,Bełżec,Zloty,,Male,
Lamborghini,Carthage,Dinar,,Male,
Mercury,,Ruble,Once,Male,
Mercedes-Benz,Konakridee,Leone,Yearly,Male,Irish Gaelic
,Baru,Rupiah,Monthly,Male,
Ford,San Jose,Peso,Monthly,,Malagasy
Audi,Zolotyy Potik,Hryvnia,Weekly,Female,
,Lavras,Real,Seldom,Female,
GMC,Irará,Real,Often,,
GMC,Liangbing,Yuan Renminbi,Never,Female,Pashto
,Weiqi,Yuan Renminbi,Seldom,Male,
Volkswagen,Nerópolis,Real,Never,Male,
Kia,Voznesenskoye,Ruble,Monthly,Male,
Chevrolet,Shalushka,Ruble,Yearly,,
,Bribir,Kuna,Weekly,Male,
Buick,Helsingborg,Krona,Daily,Female,
,Sulahan,Rupiah,Daily,Female,
,Greenville,Dollar,Once,Male,
Mercury,Huangbei,Yuan Renminbi,Daily,Female,
Ford,Ramadi,,Often,Male,
,Ḩawf,Rial,Yearly,Male,
,Chenqing,Yuan Renminbi,Yearly,Female,Kannada
Lexus,Străşeni,Leu,Weekly,Male,
GMC,Enjitsu,Won,Daily,Male,
Cadillac,Gavarr,Dram,Seldom,,
Honda,Kamyanyets,Ruble,Never,Male,Moldovan
Ford,,Peso,Daily,,
Volkswagen,Chexi,Yuan Renminbi,Monthly,Male,
Pontiac,Tegaldowo,Rupiah,Once,Male,
Geo,Tunbao,Yuan Renminbi,Yearly,Male,
Nissan,Pabean,Rupiah,Weekly,Male,
Kia,Nakło nad Notecią,Zloty,Yearly,,Malayalam
,Iqaluit,,Monthly,Male,
Mercedes-Benz,Puńsk,Zloty,Never,Male,
Jaguar,Sovetsk,Ruble,Yearly,Male,
Dodge,Voi,Shilling,Daily,Female,
Chrysler,Pavlogradka,Ruble,Never,Female,
Kia,Maoya,Yuan Renminbi,Monthly,Male,Nepali
,,Yuan Renminbi,Weekly,Male,
Toyota,Hlybokaye,Ruble,Seldom,Male,
Porsche,Bambang,Peso,Daily,,
Lexus,Nikísiani,,Daily,Female,
Ford,Łopuszna,Zloty,Once,Male,
Buick,Lampitak,Peso,Weekly,Female,
Mitsubishi,Schenectady,Dollar,Never,Female,
,,Peso,Often,Female,
Honda,Shardara,Tenge,Once,,
Land Rover,Wołomin,Zloty,Often,,
Honda,Mayenne,Euro,Weekly,Male,Norwegian
Nissan,Mlalo,Shilling,Weekly,Female,Italian
Mazda,Pampa del Infierno,,Yearly,Male,
GMC,Kuvandyk,,,Male,
Pontiac,Obolo-Eke (1),Naira,Once,Female,
Chevrolet,Lingyuan,Yuan Renminbi,Once,Female,French
Eagle,Dayingjie,Yuan Renminbi,Often,Male,
Mercedes-Benz,Shimabara,Yen,Weekly,Female,
,Tomas,Sol,Weekly,Female,Sotho
,Tomakivka,Hryvnia,Yearly,Female,
Ford,Svrljig,Dinar,Monthly,Female,
Chevrolet,Jieduo,Yuan Renminbi,Often,Male,Portuguese
MINI,Colcabamba,Sol,Never,Female,
Audi,Limon,Peso,Once,Female,
Audi,Niba,Yuan Renminbi,,,Quechua
Kia,Paraíso das Águas,,Never,Female,Bengali
Honda,,Rupiah,Once,Male,
Volvo,,,Yearly,,Hindi
Mercedes-Benz,Honglai,Yuan Renminbi,Yearly,Female,
Ford,Sanshui,Yuan Renminbi,Never,Female,
,,Euro,Yearly,Female,
,,Sol,Often,Female,Sotho
,,Euro,Never,Female,Azeri
Toyota,Rūjayb,Shekel,Daily,Female,
Saturn,Vyšší Brod,Koruna,Once,,
Aston Martin,Zhirnovsk,Ruble,Yearly,Male,
Aptera,Shuanggang,Yuan Renminbi,Yearly,Male,
,Muzhijie,,Weekly,Male,
Audi,,Franc,Never,Female,
,Capinzal,,Once,Male,
Suzuki,Zhdanov,Dram,Never,Male,Armenian
Porsche,Fortaleza,Real,Once,Male,
Nissan,Gromnik,Zloty,Weekly,,
,Maubeuge,Euro,Weekly,Female,
Dodge,Minapan,Peso,Weekly,Female,
,Trbovlje,Euro,Monthly,Male,
Cadillac,Folques,Euro,,Male,
Mercury,Mikhnëvo,Ruble,Once,Female,
Saab,Solok,Rupiah,Often,Female,
Ford,Dallas,Dollar,Never,Female,
GMC,Yongjiu,Yuan Renminbi,,Male,Dhivehi
Dodge,Cotuí,,Weekly,,
Chevrolet,Nart,Tugrik,Monthly,Male,
,Göteborg,,Weekly,Female,
Lexus,Çepan,Lek,Yearly,Female,
Pontiac,Broniszewice,Zloty,Once,Female,
,,Ruble,Never,Female,
BMW,,Euro,Seldom,Female,Bislama
,Yangzhuang,,Never,Female,
Hummer,,Euro,Monthly,Female,
,Anse à Galets,,Weekly,Female,
GMC,Khenifra,,Monthly,Female,
GMC,Dūst Moḩammad Khān,Rial,Daily,Male,Afrikaans
BMW,Khantaghy,Tenge,Never,,Dutch
Jaguar,,Zloty,Never,Male,
Volvo,Denton,Dollar,Yearly,Female,
Chevrolet,,Dollar,Yearly,Male,
Mazda,Miętne,Zloty,Weekly,Female,
,Sydney,Dollar,,,Tok Pisin
Jeep,,Rupiah,Never,Female,Ndebele
BMW,Dessalines,Gourde,Daily,Female,
Ford,Quito,Dollar,Often,Female,
,Zhangjiang,Yuan Renminbi,Often,Male,Arabic
Lincoln,Suhe,Yuan Renminbi,Monthly,Female,
Land Rover,Shewopo,Yuan Renminbi,Monthly,Male,
Lamborghini,Şaḩneh,Rial,Weekly,Female,Portuguese
,Ban Na San,Baht,Monthly,Female,Dzongkha
GMC,San Antonio,Bolivar,Once,Male,
GMC,Liure,Lempira,Seldom,Male,
,Rora Timur,,Monthly,Male,
Mitsubishi,San Jose,Peso,Often,Male,
Saturn,Shuangtian,Yuan Renminbi,Seldom,Female,
Jeep,Gadzhiyevo,Ruble,Yearly,Male,
Maybach,,Dram,Daily,Male,
Subaru,Riit,Rupiah,Weekly,Female,
Volvo,Puerto Montt,Peso,Often,Male,Zulu
Chevrolet,Kushar,Rial,Never,Female,
Mazda,Fuzhou,Yuan Renminbi,Yearly,Male,
Ford,,Rupiah,Yearly,Female,Azeri
,,Euro,Daily,Female,
Acura,Santa Cruz das Flores,Euro,Seldom,Female,
Ford,Blois,Euro,Seldom,Male,
Mitsubishi,,Yuan Renminbi,Daily,Female,
,Prelog,Kuna,Daily,Female,
Dodge,Yedogon,Ruble,Daily,Female,
Volkswagen,Hewa,Rupiah,Daily,Female,Punjabi
Pontiac,Badovinci,Dinar,Seldom,Male,
Nissan,Badīn,Rupee,Seldom,Male,
,San Pablo,Peso,Monthly,Female,
Lexus,Đắk Hà,Dong,Yearly,Male,
Nissan,Mkiriwadjumoi,Franc,Seldom,Female,
Hyundai,Takengon,Rupiah,Once,Female,
,Johanneshov,Krona,Weekly,Female,
Mercedes-Benz,Sigaboy,,Seldom,Female,
Oldsmobile,Leonidovo,Ruble,Yearly,,
Porsche,Bharatpur,,Yearly,Male,
Dodge,Angan,Rupiah,Often,Female,Indonesian
Mazda,Nikita,Hryvnia,Yearly,Male,
Kia,,Yuan Renminbi,Yearly,Male,
Buick,San Vicente,Peso,Yearly,Male,
,Montería,Peso,Weekly,Female,
Hyundai,Valdosta,Dollar,Never,Female,
Volvo,Uppsala,Krona,Once,Female,Māori
Lincoln,Forestville,Dollar,Monthly,Male,Italian
Ford,El Cortezo,Balboa,Monthly,Female,
Land Rover,Shangwuzhuang,Yuan Renminbi,Daily,Male,
GMC,Singgugu,Rupiah,Once,,
Chrysler,Yonghe,,Yearly,Male,
Kia,Banghai,Yuan Renminbi,Weekly,Female,
Mitsubishi,Shiki,Yen,Often,Male,
Volvo,,Yen,Seldom,Male,
Land Rover,,Baht,Once,Female,
Ford,Kota Kinabalu,Ringgit,Monthly,,Hungarian
Bentley,,,,Male,
Dodge,Guapimirim,Real,Yearly,Male,
Ford,Hairag,Yuan Renminbi,Daily,Male,
Ford,Campurrejo,Rupiah,Never,Male,
Mercury,Sorren Daya,Rupiah,Seldom,Female,
,Lanhe,,Daily,Male,
Ford,Château-Richer,Dollar,Often,Male,
Volkswagen,Fresno,Dollar,Daily,Male,
GMC,Outeiro,Euro,Once,Female,
Buick,,Krona,Daily,Female,
,Mvuma,Dollar,Monthly,Male,Lithuanian
Toyota,Santiago de Baney,Franc,Never,Male,
Acura,Ávato,Euro,Never,Male,Japanese
,Lidian,Yuan Renminbi,Seldom,Female,
Ford,Morbatoh,Rupiah,Often,Male,
GMC,Kosikha,,,Female,
Pontiac,Pentéli,Euro,Yearly,Male,
Plymouth,Manakara,Ariary,Seldom,Male,
Ford,Arosbaya,Rupiah,Seldom,Male,
,Toulon,Euro,Yearly,Male,
,Åhus,Krona,Seldom,Female,
Audi,Okiot,,Weekly,Male,
Mercedes-Benz,,Dollar,Daily,Female,
Hyundai,,Peso,Often,Female,
Hyundai,Yahil’nytsya,Hryvnia,Seldom,Male,
Cadillac,Moulay Bouchta,Dirham,,Female,
Lincoln,,,Once,Female,
,Miaotang,Yuan Renminbi,Daily,Female,
Dodge,Nariño,Peso,Daily,Male,
Honda,Grenoble,Euro,Often,Female,
Acura,,,Daily,Male,Korean
Ford,Oslo,Krone,Once,Female,
Lexus,Krajan C Wonorejo,,Monthly,,Haitian Creole
Dodge,,,,Female,
Mitsubishi,Itaberaí,Real,Never,Male,
Buick,Semënovskoye,Ruble,Daily,Female,
Lexus,Simeykyne,Hryvnia,Yearly,,
,Monte da Pedra,Euro,Often,,
Mitsubishi,Al Nashmah,,Daily,Male,Pashto
Jeep,Okaya,Yen,Seldom,,
,Abuja,Naira,Monthly,Female,Hiri Motu
Ford,Bariri,Real,Daily,Male,
Acura,,Rupiah,Yearly,Male,
Lamborghini,El Corpus,Lempira,Weekly,Male,Swedish
Lincoln,Besançon,Euro,Never,Female,
Chevrolet,Atipuluhan,Peso,Daily,Male,
Mitsubishi,Telsiai,,Daily,Female,
,Clichy,Euro,Never,Female,
Mitsubishi,Fazenda de Santa Cruz,Euro,Seldom,Male,
Jaguar,Novikovo,,Yearly,Female,
,Loshnitsa,Ruble,Seldom,Female,
Lincoln,,Yuan Renminbi,Monthly,Male,Kurdish
Toyota,Ijūin,Yen,Yearly,Female,
,Gargaliánoi,Euro,Never,Male,
,Lady Grey,Rand,Seldom,Male,
Acura,Paghmān,Afghani,Often,Female,
Pontiac,Prudentópolis,Real,Daily,Female,
Honda,Toyoshina,Yen,Seldom,Male,Malayalam
Chrysler,Montpellier,Euro,Monthly,Female,Persian
Austin,Baabda,,Monthly,Female,
,Putang,Yuan Renminbi,Weekly,,
Toyota,Cigadog,Rupiah,Daily,Female,
Porsche,,Krona,Often,Male,French
,Đà Bắc,Dong,Yearly,Male,
Maserati,Hou’an,Yuan Renminbi,,Male,
Buick,Mulandoro,Rupiah,Daily,Female,
Pontiac,Schellenberg,,Never,Female,
Ford,Ambulong,Peso,Monthly,Female,
Acura,Same,Dollar,Daily,Male,
Honda,Buriwutung,Rupiah,Never,Female,
Chevrolet,Chatturat,Baht,Yearly,Male,
Suzuki,Porto Feliz,Real,Often,Female,
Buick,Kinloch,,Weekly,,
Toyota,Cabarroguis,Peso,Monthly,Female,
,Bang Ban,Baht,Weekly,Female,
Audi,Tianya,,,,
Oldsmobile,Londres,Peso,Never,Female,Maltese
Acura,Lavradio,Euro,Seldom,Female,
,Koson,Som,Weekly,Male,
,,,Yearly,Female,
Nissan,Ostashkov,Ruble,Monthly,Male,Moldovan
Ford,Łanięta,Zloty,Often,Female,
BMW,Mabugang,,Seldom,Male,
Mitsubishi,Masachapa,Cordoba,Yearly,Female,
Chevrolet,Baoxing,,,Male,
Chevrolet,Orsay,Euro,Daily,Female,
,Ténenkou,Franc,Often,,
Chevrolet,Skövde,Krona,Seldom,Female,
Audi,Pouso Alegre,Real,Often,Female,
GMC,,Rupiah,Seldom,,Papiamento
MINI,Xijiao,Yuan Renminbi,Yearly,Female,
Pontiac,,Zloty,Weekly,,
Chevrolet,Albany,Dollar,Daily,Male,
Chrysler,Zagnitkiv,Hryvnia,Often,Female,
Volkswagen,Muzambinho,,Weekly,Female,
Eagle,San Fernando,Peso,Often,Female,
,Erie,Dollar,Often,Male,Lithuanian
Ford,Biryulëvo,Ruble,Daily,Female,
,,Rupee,Often,Female,
Toyota,Baro Kunda,Dalasi,Yearly,Male,Zulu
,Da’an,Yuan Renminbi,,Male,
Audi,Brak,Dinar,Seldom,Female,
Mazda,Storvreta,Krona,Once,Male,Japanese
Pontiac,Makueni,Shilling,Seldom,Female,
,Tabug,Peso,Never,Female,
MINI,Mosopa,Pula,Weekly,Male,
Nissan,Milovice,Koruna,Weekly,Female,
Mercedes-Benz,Guicheng,Yuan Renminbi,Weekly,Female,
,,Rupiah,Yearly,,
Ford,Selebi-Phikwe,Pula,Daily,Male,
,Monywa,Kyat,Daily,Female,
Ford,Kangar,Ringgit,Monthly,Female,
,Chengbei,Yuan Renminbi,Once,Male,Norwegian
Ford,Liangdong,Yuan Renminbi,Daily,Male,
,Maikawada,Rupiah,Weekly,,
Nissan,Ta`ū,Dollar,Weekly,Male,
,Beidao,Yuan Renminbi,Daily,,
,Komysh-Zorya,,Once,Male,
Jeep,Magaria,,Never,Male,
Chevrolet,Paris 04,Euro,Seldom,Male,
,Guadalupe,Peso,Daily,Male,
Volvo,,Yuan Renminbi,Often,Female,
Suzuki,,,Weekly,,Bengali
Volkswagen,Zamość,Zloty,Weekly,Female,
Lamborghini,La Libertad,,Yearly,Female,
Chevrolet,Kapshagay,Tenge,,Male,Dari
Chevrolet,Sanchahe,Yuan Renminbi,Daily,Male,Swati
Audi,Wan’an,Yuan Renminbi,Often,Female,
Lexus,,Lempira,Yearly,Female,
Honda,Rutul,Ruble,Seldom,Male,
Honda,Wāling,Rupee,Weekly,Female,
Toyota,,Ruble,Daily,Male,
Audi,Melíti,,Once,Male,
Ford,Xinglong,Yuan Renminbi,Monthly,Female,Kurdish
,Cruzeiro do Oeste,Real,Daily,Male,
,Lipljan,Euro,Monthly,Male,
Chevrolet,Borūjerd,,Monthly,Male,
Lincoln,Changshengqiao,Yuan Renminbi,Weekly,Male,Punjabi
Hyundai,,Peso,,Male,
Volvo,Igaraçu do Tietê,Real,Weekly,Male,
Pontiac,,Dollar,Never,Female,
Cadillac,Viloco,Boliviano,Seldom,Female,
Jaguar,Venda do Alcaide,Euro,Once,Female,
Bentley,,Hryvnia,Yearly,Female,
Volkswagen,Pananaw,Peso,Monthly,Female,
Ram,Trondheim,,Once,Female,
GMC,Zdíkov,Koruna,Once,Female,
Toyota,The Valley,,Seldom,,
Maserati,Rymättylä,Euro,Seldom,Male,
Hyundai,Ashcroft,Dollar,Never,Male,
Ford,Lanipao,Peso,Seldom,Male,
Audi,Horad Krychaw,Ruble,Weekly,Female,Dutch
Buick,,Peso,Daily,Male,
Buick,Morelos,Peso,Often,Female,
Nissan,Qiwen,Yuan Renminbi,Seldom,Female,
Honda,,Krona,Weekly,,
Mercedes-Benz,Mazongshan,Yuan Renminbi,Never,Male,
